---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
 24407403.935000  	    10	0	0  
 24407455.325000  	    7a	8	2  
 24407456.753000  	    50	0	0  
 24408459.180000  	    8a	3	2  
 24408460.391000  	    8a	2	2  
 24408461.593000  	    0	0	0  
 24411462.989000  	    7a	8	2  
 24411464.291000  	    50	0	0  
 24412466.788000  	    b9	0	2  
 24412468.135000  	    10	0	0  
 24418469.555000  	    7a	8	2  
 24418470.892000  	    50	0	0  
 24419473.411000  	    ba	0	2  
 24419474.676000  	    10	0	0  
 24419526.071000  	    7a	8	2  
 24419527.356000  	    50	0	0  
 24420529.625000  	    8a	3	2  
 24420530.889000  	    8a	2	2  
 24420532.143000  	    0	0	0  
 24423533.393000  	    7a	8	2  
 24423534.693000  	    50	0	0  
 24424537.109000  	    b9	0	2  
 24424538.276000  	    10	0	0  
 24430539.662000  	    7a	8	2  
 24430540.964000  	    50	0	0  
 24431544.224000  	    ba	0	2  
 24431545.542000  	    10	0	0  
 24431596.987000  	    7a	8	2  
 24431598.249000  	    50	0	0  
 24432600.853000  	    8a	3	2  
 24432602.103000  	    8a	2	2  
 24432603.449000  	    0	0	0  
 24435604.862000  	    7a	8	2  
 24435606.123000  	    50	0	0  
 24436608.608000  	    b9	0	2  
 24436609.850000  	    10	0	0  
 24442611.196000  	    7a	8	2  
 24442612.479000  	    50	0	0  
 24443614.873000  	    ba	0	2  
 24443616.095000  	    10	0	0  
 24443667.462000  	    7a	8	2  
 24443668.743000  	    50	0	0  
 24444671.147000  	    8a	3	2  
 24444672.443000  	    8a	2	2  
 24444673.807000  	    0	0	0  
 24447675.239000  	    7a	8	2  
 24447676.439000  	    50	0	0  
 24448678.750000  	    b9	0	2  
 24448680.063000  	    10	0	0  
 24454681.491000  	    7a	8	2  
 24454682.784000  	    50	0	0  
 24455685.090000  	    ba	0	2  
 24455686.306000  	    10	0	0  
 24455737.638000  	    7a	8	2  
 24455738.956000  	    50	0	0  
 24456741.354000  	    8a	3	2  
 24456742.651000  	    8a	2	2  
 24456743.877000  	    0	0	0  
 24459745.208000  	    7a	8	2  
 24459746.483000  	    50	0	0  
 24460748.824000  	    b9	0	2  
 24460750.000000  	    10	0	0  
 24466751.382000  	    7a	8	2  
 24466752.637000  	    50	0	0  
 24467755.197000  	    ba	0	2  
 24467756.383000  	    10	0	0  
 24467807.840000  	    7a	8	2  
 24467809.246000  	    50	0	0  
 24468811.728000  	    8a	3	2  
 24468813.029000  	    8a	2	2  
 24468814.397000  	    0	0	0  
 24471815.842000  	    7a	8	2  
 24471817.125000  	    50	0	0  
 24472819.372000  	    b9	0	2  
 24472820.654000  	    10	0	0  
 24478822.014000  	    7a	8	2  
 24478823.367000  	    50	0	0  
 24479825.801000  	    ba	0	2  
 24479827.038000  	    10	0	0  
 24479878.512000  	    7a	8	2  
 24479879.819000  	    50	0	0  
 24480882.051000  	    8a	3	2  
 24480883.198000  	    8a	2	2  
 24480884.362000  	    0	0	0  
 24483885.672000  	    7a	8	2  
 24483886.935000  	    50	0	0  
 24484889.595000  	    b9	0	2  
 24484890.862000  	    10	0	0  
 24490892.230000  	    7a	8	2  
 24490893.488000  	    50	0	0  
 24491895.929000  	    ba	0	2  
 24491897.134000  	    10	0	0  
 24491948.477000  	    7a	8	2  
 24491949.743000  	    50	0	0  
 24492952.170000  	    8a	3	2  
 24492953.504000  	    8a	2	2  
 24492954.851000  	    0	0	0  
 24495956.268000  	    7a	8	2  
 24495957.507000  	    50	0	0  
 24496959.874000  	    b9	0	2  
 24496961.216000  	    10	0	0  
 24502962.612000  	    7a	8	2  
 24502963.868000  	    50	0	0  
 24503966.179000  	    ba	0	2  
 24503967.447000  	    10	0	0  
 24504018.863000  	    7a	8	2  
 24504020.165000  	    50	0	0  
 24505022.483000  	    8a	3	2  
 24505023.743000  	    8a	2	2  
 24505025.037000  	    0	0	0  
 24508026.406000  	    7a	8	2  
 24508027.682000  	    50	0	0  
 24509030.107000  	    b9	0	2  
 24509031.342000  	    10	0	0  
 24515032.671000  	    7a	8	2  
 24515033.919000  	    50	0	0  
 24516036.345000  	    ba	0	2  
 24516037.583000  	    10	0	0  
 24516088.955000  	    7a	8	2  
 24516090.247000  	    50	0	0  
 24517092.505000  	    8a	3	2  
 24517093.800000  	    8a	2	2  
 24517095.049000  	    0	0	0  
 24520096.340000  	    7a	8	2  
 24520097.603000  	    50	0	0  
 24521099.936000  	    b9	0	2  
 24521101.163000  	    10	0	0  
 24527102.520000  	    7a	8	2  
 24527103.746000  	    50	0	0  
 24528105.991000  	    ba	0	2  
 24528107.245000  	    10	0	0  
 24528158.602000  	    7a	8	2  
 24528159.904000  	    50	0	0  
 24529162.393000  	    8a	3	2  
 24529163.710000  	    8a	2	2  
 24529165.082000  	    0	0	0  
 24532166.494000  	    7a	8	2  
 24532167.720000  	    50	0	0  
 24533170.372000  	    b9	0	2  
 24533171.615000  	    10	0	0  
 24539172.971000  	    7a	8	2  
 24539174.199000  	    50	0	0  
 24540176.754000  	    ba	0	2  
 24540177.956000  	    10	0	0  
 24540229.340000  	    7a	8	2  
 24540230.703000  	    50	0	0  
 24541233.106000  	    8a	3	2  
 24541234.363000  	    8a	2	2  
 24541235.633000  	    0	0	0  
 24544237.025000  	    7a	8	2  
 24544238.275000  	    50	0	0  
 24545240.859000  	    b9	0	2  
 24545242.089000  	    10	0	0  
 24551243.445000  	    7a	8	2  
 24551244.669000  	    50	0	0  
 24552247.484000  	    ba	0	2  
 24552248.719000  	    10	0	0  
 24552300.081000  	    7a	8	2  
 24552301.359000  	    50	0	0  
 24553302.945000  	    8a	3	2  
 24553304.078000  	    8a	2	2  
 24553305.209000  	    0	0	0  
 24556306.431000  	    7a	8	2  
 24556307.618000  	    50	0	0  
 24558309.430000  	    b9	0	2  
 24558310.581000  	    10	0	0  
 24564311.866000  	    7a	8	2  
 24564313.095000  	    50	0	0  
 24565315.642000  	    ba	0	2  
 24565316.880000  	    10	0	0  
 24565368.222000  	    7a	8	2  
 24565369.484000  	    50	0	0  
 24566371.993000  	    8a	3	2  
 24566373.282000  	    8a	2	2  
 24566374.524000  	    0	0	0  
 24569375.869000  	    7a	8	2  
 24569377.148000  	    50	0	0  
 24570379.451000  	    b9	0	2  
 24570380.703000  	    10	0	0  
 24576382.058000  	    7a	8	2  
 24576383.361000  	    50	0	0  
 24577385.911000  	    ba	0	2  
 24577387.151000  	    10	0	0  
 24577438.539000  	    7a	8	2  
 24577439.826000  	    50	0	0  
 24578442.199000  	    8a	3	2  
 24578443.460000  	    8a	2	2  
 24578444.695000  	    0	0	0  
 24581445.999000  	    7a	8	2  
 24581447.265000  	    50	0	0  
 24582449.709000  	    b9	0	2  
 24582451.017000  	    10	0	0  
 24588452.377000  	    7a	8	2  
 24588453.646000  	    50	0	0  
 24589456.220000  	    ba	0	2  
 24589457.446000  	    10	0	0  
 24589508.823000  	    7a	8	2  
 24589510.125000  	    50	0	0  
 24590512.626000  	    8a	3	2  
 24590514.010000  	    8a	2	2  
 24590515.354000  	    0	0	0  
 24593516.764000  	    7a	8	2  
 24593518.035000  	    50	0	0  
 24594520.628000  	    b9	0	2  
 24594521.855000  	    10	0	0  
 24600523.194000  	    7a	8	2  
 24600524.506000  	    50	0	0  
 24601526.723000  	    ba	0	2  
 24601527.924000  	    10	0	0  
 24601579.309000  	    7a	8	2  
 24601580.576000  	    50	0	0  
 24602583.018000  	    8a	3	2  
 24602584.249000  	    8a	2	2  
 24602585.496000  	    0	0	0  
 24605586.821000  	    7a	8	2  
 24605588.090000  	    50	0	0  
 24606590.665000  	    b9	0	2  
 24606591.865000  	    10	0	0  
 24612593.220000  	    7a	8	2  
 24612594.518000  	    50	0	0  
 24613597.019000  	    ba	0	2  
 24613598.277000  	    10	0	0  
 24613649.669000  	    7a	8	2  
 24613650.992000  	    50	0	0  
 24614653.231000  	    8a	3	2  
 24614654.485000  	    8a	2	2  
 24614655.773000  	    0	0	0  
 24617657.073000  	    7a	8	2  
 24617658.310000  	    50	0	0  
 24618660.850000  	    b9	0	2  
 24618662.097000  	    10	0	0  
 24624663.438000  	    7a	8	2  
 24624664.728000  	    50	0	0  
 24625667.066000  	    ba	0	2  
 24625668.308000  	    10	0	0  
 24625719.638000  	    7a	8	2  
 24625720.940000  	    50	0	0  
 24626723.307000  	    8a	3	2  
 24626724.563000  	    8a	2	2  
 24626725.755000  	    0	0	0  
 24629727.043000  	    7a	8	2  
 24629728.273000  	    50	0	0  
 24630730.491000  	    b9	0	2  
 24630731.645000  	    10	0	0  
 24636732.951000  	    7a	8	2  
 24636734.129000  	    50	0	0  
 24637736.475000  	    ba	0	2  
 24637737.728000  	    10	0	0  
 24637789.081000  	    7a	8	2  
 24637790.341000  	    50	0	0  
 24638792.751000  	    8a	3	2  
 24638794.081000  	    8a	2	2  
 24638795.415000  	    0	0	0  
 24641796.755000  	    7a	8	2  
 24641798.058000  	    50	0	0  
 24642800.441000  	    b9	0	2  
 24642801.699000  	    10	0	0  
 24648803.005000  	    7a	8	2  
 24648804.263000  	    50	0	0  
 24649806.689000  	    ba	0	2  
 24649807.925000  	    10	0	0  
 24649859.244000  	    7a	8	2  
 24649860.576000  	    50	0	0  
 24650862.965000  	    8a	3	2  
 24650864.247000  	    8a	2	2  
 24650865.511000  	    0	0	0  
 24653866.803000  	    7a	8	2  
 24653868.015000  	    50	0	0  
 24654870.565000  	    b9	0	2  
 24654871.942000  	    10	0	0  
 24660873.368000  	    7a	8	2  
 24660874.646000  	    50	0	0  
 24661877.291000  	    ba	0	2  
 24661878.527000  	    10	0	0  
 24661930.013000  	    7a	8	2  
 24661931.356000  	    50	0	0  
