---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
 4268129.528000  	    10	0	0  
 4277130.802000  	    7a	8	2  
 4277132.006000  	    50	0	0  
 4278134.458000  	    ba	0	2  
 4278135.680000  	    10	0	0  
 4278337.060000  	    7a	8	2  
 4278338.301000  	    50	0	0  
 4279340.687000  	    8a	3	2  
 4279341.933000  	    8a	2	2  
 4279343.164000  	    0	0	0  
 4285344.441000  	    7a	8	2  
 4285345.627000  	    50	0	0  
 4286348.071000  	    b9	0	2  
 4286349.327000  	    10	0	0  
 4295350.637000  	    7a	8	2  
 4295351.797000  	    50	0	0  
 4296353.422000  	    ba	0	2  
 4296354.553000  	    10	0	0  
 4296555.960000  	    7a	8	2  
 4296557.363000  	    50	0	0  
 4297559.741000  	    b6	1	2  
 4297560.949000  	    86	2	2  
 4297562.157000  	    0	0	0  
 4303563.411000  	    76	8	2  
 4303564.621000  	    50	0	0  
 4304566.860000  	    b5	0	2  
 4304568.087000  	    10	0	0  
 4313569.319000  	    76	8	2  
 4313570.534000  	    50	0	0  
 4314573.073000  	    b6	0	2  
 4314574.350000  	    10	0	0  
 4314775.745000  	    76	8	2  
 4314777.038000  	    50	0	0  
 4315779.598000  	    8a	3	2  
 4315780.882000  	    8a	2	2  
 4315782.192000  	    0	0	0  
 4321783.545000  	    7a	8	2  
 4321784.828000  	    50	0	0  
 4322787.289000  	    b9	0	2  
 4322788.620000  	    10	0	0  
 4331789.950000  	    7a	8	2  
 4331791.164000  	    50	0	0  
 4332793.389000  	    ba	0	2  
 4332794.539000  	    10	0	0  
 4332995.849000  	    7a	8	2  
 4332997.070000  	    50	0	0  
 4333999.286000  	    8a	3	2  
 4334000.651000  	    8a	2	2  
 4334001.976000  	    0	0	0  
 4340003.305000  	    7a	8	2  
 4340004.619000  	    50	0	0  
 4341006.901000  	    b9	0	2  
 4341008.115000  	    10	0	0  
 4350009.420000  	    7a	8	2  
 4350010.687000  	    50	0	0  
 4351012.374000  	    ba	0	2  
 4351013.508000  	    10	0	0  
 4351214.735000  	    7a	8	2  
 4351215.972000  	    50	0	0  
 4352218.166000  	    8a	3	2  
 4352219.398000  	    8a	2	2  
 4352220.651000  	    0	0	0  
 4358221.935000  	    7a	8	2  
 4358223.137000  	    50	0	0  
 4359225.474000  	    b9	0	2  
 4359226.732000  	    10	0	0  
 4368228.079000  	    7a	8	2  
 4368229.359000  	    50	0	0  
 4369232.030000  	    ba	0	2  
 4369233.278000  	    10	0	0  
 4369434.671000  	    7a	8	2  
 4369435.965000  	    50	0	0  
 4370438.483000  	    8a	3	2  
 4370439.717000  	    8a	2	2  
 4370440.967000  	    0	0	0  
 4376442.300000  	    7a	8	2  
 4376443.546000  	    50	0	0  
 4377445.759000  	    b9	0	2  
 4377447.033000  	    10	0	0  
 4386448.335000  	    7a	8	2  
 4386449.465000  	    50	0	0  
 4387451.985000  	    ba	0	2  
 4387453.175000  	    10	0	0  
 4387654.444000  	    7a	8	2  
 4387655.837000  	    50	0	0  
 4388658.287000  	    8a	3	2  
 4388659.565000  	    8a	2	2  
 4388660.851000  	    0	0	0  
 4394662.199000  	    7a	8	2  
 4394663.478000  	    50	0	0  
 4395665.981000  	    b9	0	2  
 4395667.207000  	    10	0	0  
 4404668.537000  	    7a	8	2  
 4404669.819000  	    50	0	0  
 4405672.379000  	    ba	0	2  
 4405673.645000  	    10	0	0  
 4405875.022000  	    7a	8	2  
 4405876.319000  	    50	0	0  
 4406879.015000  	    8a	3	2  
 4406880.266000  	    8a	2	2  
 4406881.576000  	    0	0	0  
 4412883.053000  	    7a	8	2  
 4412884.356000  	    50	0	0  
 4413886.710000  	    b9	0	2  
 4413887.956000  	    10	0	0  
 4422889.259000  	    7a	8	2  
 4422890.451000  	    50	0	0  
 4423892.247000  	    ba	0	2  
 4423893.466000  	    10	0	0  
 4424094.761000  	    7a	8	2  
 4424096.031000  	    50	0	0  
 4425098.385000  	    8a	3	2  
 4425099.641000  	    8a	2	2  
 4425100.907000  	    0	0	0  
 4431102.196000  	    7a	8	2  
 4431103.452000  	    50	0	0  
 4432105.832000  	    b9	0	2  
 4432107.090000  	    10	0	0  
 4441108.349000  	    7a	8	2  
 4441109.632000  	    50	0	0  
 4442111.748000  	    ba	0	2  
 4442112.911000  	    10	0	0  
 4442314.215000  	    7a	8	2  
 4442315.476000  	    50	0	0  
 4443317.662000  	    8a	3	2  
 4443318.917000  	    8a	2	2  
 4443320.209000  	    0	0	0  
 4449321.540000  	    7a	8	2  
